Construct_Name,Source,Definition_Text,Paper_Count,Reference_URLs
Job satisfaction,OpenAlex,"Job satisfaction, employee satisfaction or work satisfaction is a measure of workers' contentment with their job, whether they like the job or individual aspects or facets of jobs, such as nature of work or supervision. Job satisfaction can be measured in cognitive (evaluative), affective (or emotional), and behavioral components.",4083,"https://doi.org/10.1037/0021-9010.86.3.499,https://doi.org/10.1037/h0076546,https://doi.org/10.1006/jvbe.2001.1842"
Job performance,OpenAlex,"Job performance assesses whether a person performs a job well. Job performance, studied academically as part of industrial and organizational psychology, also forms a part of human resources management.",2422,"https://doi.org/10.1037/0021-9010.86.3.499,https://doi.org/10.1006/jvbe.2001.1842,https://doi.org/10.1037/0021-9010.87.4.698"
Organizational commitment,OpenAlex,"In organizational behavior and industrial and organizational psychology, organizational commitment is an individual's psychological attachment to the organization. Organizational scientists have also developed many nuanced definitions of organizational commitment, and numerous scales to measure them.",2117,"https://doi.org/10.1016/0001-8791(79)90072-1,https://doi.org/10.1002/job.322,https://doi.org/10.1006/jvbe.2001.1842"
Job attitude,OpenAlex,"A job attitude is a set of evaluations of one's job that constitute one's feelings toward, beliefs about, and attachment to one's job. Overall job attitude can be conceptualized in two ways.",1153,"https://doi.org/10.1006/jvbe.2001.1842,https://doi.org/10.1037/0021-9010.87.4.698,https://doi.org/10.1177/014920639101700305"
Big Five personality traits,OpenAlex,"In psychology and psychometrics, the Big Five personality trait model or five-factor model (FFM), sometimes called by the mnemonic acronym OCEAN or CANOE, is a scientific model for measuring and describing human personality traits. The framework groups variation in personality into five separate factors, all measured on a continuous scale:  openness (O) measures creativity, curiosity, and willingness to entertain new ideas.",911,"https://doi.org/10.1111/j.1744-6570.1991.tb00688.x,https://doi.org/10.1111/j.1744-6570.1995.tb01781.x,https://doi.org/10.1002/job.4030140202"
Career development,OpenAlex,Career development refers to the process an individual may undergo to evolve their occupational status. It is the process of making decisions for long-term learning to align personal needs for physical or psychological fulfillment with career advancement opportunities.,908,"https://doi.org/10.1006/jvbe.1994.1027,https://doi.org/10.1016/0001-8791(80)90056-1,https://doi.org/10.1111/j.1744-6570.2005.00515.x"
Test validity,OpenAlex,"Test validity is the extent to which a test (such as a chemical, physical, or scholastic test) accurately measures what it is supposed to measure. In the fields of psychological testing and educational testing, ""validity refers to the degree to which evidence and theory support the interpretations of test scores entailed by proposed uses of tests"".",777,"https://doi.org/10.1037/0021-9010.86.3.386,https://doi.org/10.1037/0021-9010.85.3.349,https://doi.org/10.1037/0021-9010.73.3.421"
Turnover,OpenAlex,Turnover or turn over may refer to:,719,"https://doi.org/10.2307/256741,https://doi.org/10.1037/h0037335,https://doi.org/10.1037/0021-9010.87.2.268"
Interpersonal communication,OpenAlex,Interpersonal communication is an exchange of information between two or more people. It is also an area of research that seeks to understand how humans use verbal and nonverbal cues to accomplish several personal and relational goals.,667,"https://doi.org/10.2307/256727,https://doi.org/10.1037/0021-9010.86.3.425,https://doi.org/10.1037/0021-9010.86.3.386"
Job design,OpenAlex,"Work design (also referred to as job design or task design) is an area of research and practice within industrial and organizational psychology, and is concerned with the ""content and organization of one's work tasks, activities, relationships, and responsibilities"" (p. 662).",652,"https://doi.org/10.5465/amj.2010.51468988,https://doi.org/10.1037/0021-9010.91.6.1321,https://doi.org/10.1037/0021-9010.92.5.1332"
