Construct_Name,Source,Total_Paper_Count,Concept_Levels,Journal_Count,Journals,Year_Min,Year_Max
Job performance,OpenAlex,2422,3,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1927,2026
Job attitude,OpenAlex,1153,4,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1939,2026
Big Five personality traits,OpenAlex,911,3,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1926,2026
Test validity,OpenAlex,777,3,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1923,2026
PsycINFO,OpenAlex,710,3,2,Applied Psychology: An International Review; Journal of Applied Psychology,1976,2026
Job design,OpenAlex,652,4,7,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1939,2026
Job analysis,OpenAlex,639,3,7,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1923,2026
Organizational citizenship behavior,OpenAlex,594,3,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1933,2026
Construct validity,OpenAlex,498,3,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1938,2025
Extraversion and introversion,OpenAlex,460,4,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1929,2026
Reliability (semiconductor),OpenAlex,413,3,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1922,2025
Organizational justice,OpenAlex,341,3,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1966,2024
Conscientiousness,OpenAlex,322,5,8,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1977,2025
