Construct_Name,Source,Journal,Year,Concept_Level,Paper_Count,Journal_Tier,Is_Noise,Noise_Reasons
PsycINFO,OpenAlex,Journal of Applied Psychology,2021,3,109,Tier_1_Core_IO,False,
PsycINFO,OpenAlex,Journal of Applied Psychology,2017,3,103,Tier_1_Core_IO,False,
PsycINFO,OpenAlex,Journal of Applied Psychology,2016,3,77,Tier_1_Core_IO,False,
PsycINFO,OpenAlex,Journal of Applied Psychology,2018,3,77,Tier_1_Core_IO,False,
PsycINFO,OpenAlex,Journal of Applied Psychology,2023,3,72,Tier_1_Core_IO,False,
PsycINFO,OpenAlex,Journal of Applied Psychology,2019,3,66,Tier_1_Core_IO,False,
PsycINFO,OpenAlex,Journal of Applied Psychology,2020,3,62,Tier_1_Core_IO,False,
PsycINFO,OpenAlex,Journal of Applied Psychology,2022,3,62,Tier_1_Core_IO,False,
Coronavirus disease 2019 (COVID-19),OpenAlex,Journal of Applied Psychology,2021,4,37,Tier_1_Core_IO,False,
Infectious disease (medical specialty),OpenAlex,Journal of Applied Psychology,2021,3,37,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,1988,3,32,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,1978,3,29,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,2001,3,28,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,1983,3,25,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,1991,3,25,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,1993,3,25,Tier_1_Core_IO,False,
Pandemic,OpenAlex,Journal of Applied Psychology,2021,5,25,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,1998,3,24,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,2000,3,24,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,2002,3,24,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,1980,3,23,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,1996,3,23,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,1977,3,22,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,1985,3,22,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,1986,3,22,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,1989,3,22,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,2010,3,22,Tier_1_Core_IO,False,
Coronavirus disease 2019 (COVID-19),OpenAlex,Journal of Applied Psychology,2020,4,21,Tier_1_Core_IO,False,
Infectious disease (medical specialty),OpenAlex,Journal of Applied Psychology,2020,3,21,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,1999,3,21,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,2009,3,21,Tier_1_Core_IO,False,
PsycINFO,OpenAlex,Journal of Applied Psychology,2009,3,21,Tier_1_Core_IO,False,
Job analysis,OpenAlex,Journal of Applied Psychology,1988,3,20,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,1976,3,20,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Vocational Behavior,2010,3,20,Tier_2_Broad_Adjacent,False,
PsycINFO,OpenAlex,Journal of Applied Psychology,2024,3,20,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,2007,3,19,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,2021,3,19,Tier_1_Core_IO,False,
PsycINFO,OpenAlex,Journal of Applied Psychology,2014,3,19,Tier_1_Core_IO,False,
2019-20 coronavirus outbreak,OpenAlex,Journal of Applied Psychology,2021,3,18,Tier_1_Core_IO,False,
Big Five personality traits,OpenAlex,Journal of Applied Psychology,2001,3,18,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,2005,3,18,Tier_1_Core_IO,False,
Test validity,OpenAlex,Journal of Applied Psychology,1982,3,18,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,2006,3,17,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,2014,3,17,Tier_1_Core_IO,False,
Test validity,OpenAlex,Journal of Applied Psychology,1986,3,17,Tier_1_Core_IO,False,
Test validity,OpenAlex,Journal of Applied Psychology,1989,3,17,Tier_1_Core_IO,False,
Job analysis,OpenAlex,Journal of Applied Psychology,1991,3,16,Tier_1_Core_IO,False,
Job attitude,OpenAlex,Journal of Applied Psychology,1993,4,16,Tier_1_Core_IO,False,
Job performance,OpenAlex,Academy of Management Journal,1977,3,16,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Academy of Management Journal,1978,3,16,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Academy of Management Journal,1984,3,16,Tier_2_Broad_Adjacent,False,
Job performance,OpenAlex,Journal of Applied Psychology,1997,3,16,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Applied Psychology,2013,3,16,Tier_1_Core_IO,False,
Job performance,OpenAlex,Journal of Vocational Behavior,2017,3,16,Tier_2_Broad_Adjacent,False,
Organizational citizenship behavior,OpenAlex,Journal of Applied Psychology,2007,3,16,Tier_1_Core_IO,False,
Organizational citizenship behavior,OpenAlex,Journal of Applied Psychology,2014,3,16,Tier_1_Core_IO,False,
Resource-based view,OpenAlex,Journal of Management,2001,3,16,Tier_2_Broad_Adjacent,False,
