Construct_Name,Description,Source,Metadata_Value
Worker Characteristics,Worker Characteristics,O*NET,1000
Abilities,Enduring attributes of the individual that influence performance,O*NET,1000
Cognitive Abilities,Abilities that influence the acquisition and application of knowledge in problem solving,O*NET,1000
Verbal Abilities,Abilities that influence the acquisition and application of verbal information in problem solving,O*NET,1000
Oral Comprehension,The ability to listen to and understand information and ideas presented through spoken words and sentences.,O*NET,1000
Written Comprehension,The ability to read and understand information and ideas presented in writing.,O*NET,1000
Oral Expression,The ability to communicate information and ideas in speaking so others will understand.,O*NET,1000
Written Expression,The ability to communicate information and ideas in writing so others will understand.,O*NET,1000
Idea Generation and Reasoning Abilities,Abilities that influence the application and manipulation of information in problem solving,O*NET,1000
Fluency of Ideas,"The ability to come up with a number of ideas about a topic (the number of ideas is important, not their quality, correctness, or creativity).",O*NET,1000
Originality,"The ability to come up with unusual or clever ideas about a given topic or situation, or to develop creative ways to solve a problem.",O*NET,1000
Problem Sensitivity,"The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing that there is a problem.",O*NET,1000
Deductive Reasoning,The ability to apply general rules to specific problems to produce answers that make sense.,O*NET,1000
Inductive Reasoning,The ability to combine pieces of information to form general rules or conclusions (includes finding a relationship among seemingly unrelated events).,O*NET,1000
Information Ordering,"The ability to arrange things or actions in a certain order or pattern according to a specific rule or set of rules (e.g., patterns of numbers, letters, words, pictures, mathematical operations).",O*NET,1000
Category Flexibility,The ability to generate or use different sets of rules for combining or grouping things in different ways.,O*NET,1000
Quantitative Abilities,Abilities that influence the solution of problems involving mathematical relationships,O*NET,1000
Mathematical Reasoning,The ability to choose the right mathematical methods or formulas to solve a problem.,O*NET,1000
Number Facility,"The ability to add, subtract, multiply, or divide quickly and correctly.",O*NET,1000
Memory,Abilities related to the recall of available information,O*NET,1000
Memorization,"The ability to remember information such as words, numbers, pictures, and procedures.",O*NET,1000
Perceptual Abilities,Abilities related to the acquisition and organization of visual information,O*NET,1000
Speed of Closure,"The ability to quickly make sense of, combine, and organize information into meaningful patterns.",O*NET,1000
Flexibility of Closure,"The ability to identify or detect a known pattern (a figure, object, word, or sound) that is hidden in other distracting material.",O*NET,1000
Perceptual Speed,"The ability to quickly and accurately compare similarities and differences among sets of letters, numbers, objects, pictures, or patterns. The things to be compared may be presented at the same time or one after the other. This ability also includes comparing a presented object with a remembered object.",O*NET,1000
Spatial Abilities,Abilities related to the manipulation and organization of spatial information,O*NET,1000
Spatial Orientation,The ability to know your location in relation to the environment or to know where other objects are in relation to you.,O*NET,1000
Visualization,The ability to imagine how something will look after it is moved around or when its parts are moved or rearranged.,O*NET,1000
Attentiveness,Abilities related to application of attention,O*NET,1000
Selective Attention,The ability to concentrate on a task over a period of time without being distracted.,O*NET,1000
Time Sharing,"The ability to shift back and forth between two or more activities or sources of information (such as speech, sounds, touch, or other sources).",O*NET,1000
Psychomotor Abilities,Abilities that influence the capacity to manipulate and control objects,O*NET,1000
Fine Manipulative Abilities,Abilities related to the manipulation of objects,O*NET,1000
Arm-Hand Steadiness,The ability to keep your hand and arm steady while moving your arm or while holding your arm and hand in one position.,O*NET,1000
Manual Dexterity,"The ability to quickly move your hand, your hand together with your arm, or your two hands to grasp, manipulate, or assemble objects.",O*NET,1000
Finger Dexterity,"The ability to make precisely coordinated movements of the fingers of one or both hands to grasp, manipulate, or assemble very small objects.",O*NET,1000
Control Movement Abilities,Abilities related to the control and manipulation of objects in time and space,O*NET,1000
Control Precision,The ability to quickly and repeatedly adjust the controls of a machine or a vehicle to exact positions.,O*NET,1000
Multilimb Coordination,"The ability to coordinate two or more limbs (for example, two arms, two legs, or one leg and one arm) while sitting, standing, or lying down. It does not involve performing the activities while the whole body is in motion.",O*NET,1000
Response Orientation,"The ability to choose quickly between two or more movements in response to two or more different signals (lights, sounds, pictures). It includes the speed with which the correct response is started with the hand, foot, or other body part.",O*NET,1000
Rate Control,The ability to time your movements or the movement of a piece of equipment in anticipation of changes in the speed and/or direction of a moving object or scene.,O*NET,1000
Reaction Time and Speed Abilities,Abilities related to speed of manipulation of objects,O*NET,1000
Reaction Time,"The ability to quickly respond (with the hand, finger, or foot) to a signal (sound, light, picture) when it appears.",O*NET,1000
Wrist-Finger Speed,"The ability to make fast, simple, repeated movements of the fingers, hands, and wrists.",O*NET,1000
Speed of Limb Movement,The ability to quickly move the arms and legs.,O*NET,1000
Physical Abilities,"Abilities that influence strength, endurance, flexibility, balance and coordination",O*NET,1000
Physical Strength Abilities,Abilities related to the capacity to exert force,O*NET,1000
Static Strength,"The ability to exert maximum muscle force to lift, push, pull, or carry objects.",O*NET,1000
Explosive Strength,"The ability to use short bursts of muscle force to propel oneself (as in jumping or sprinting), or to throw an object.",O*NET,1000
Dynamic Strength,The ability to exert muscle force repeatedly or continuously over time. This involves muscular endurance and resistance to muscle fatigue.,O*NET,1000
Trunk Strength,"The ability to use your abdominal and lower back muscles to support part of the body repeatedly or continuously over time without ""giving out"" or fatiguing.",O*NET,1000
Endurance,The ability to exert oneself physically over long periods without getting out of breath,O*NET,1000
Stamina,The ability to exert yourself physically over long periods of time without getting winded or out of breath.,O*NET,1000
"Flexibility, Balance, and Coordination",Abilities related to the control of gross body movements,O*NET,1000
Extent Flexibility,"The ability to bend, stretch, twist, or reach with your body, arms, and/or legs.",O*NET,1000
Dynamic Flexibility,"The ability to quickly and repeatedly bend, stretch, twist, or reach out with your body, arms, and/or legs.",O*NET,1000
Gross Body Coordination,"The ability to coordinate the movement of your arms, legs, and torso together when the whole body is in motion.",O*NET,1000
Gross Body Equilibrium,The ability to keep or regain your body balance or stay upright when in an unstable position.,O*NET,1000
Sensory Abilities,"Abilities that influence visual, auditory and speech perception",O*NET,1000
